K,depth_absrel,depth_delta1,pose_auc30,range
8,0.03254491090774536,0.9861072897911072,0.8653263449668884,trained
12,0.02063809148967266,0.9968268871307373,0.9396336078643799,trained
16,0.018220653757452965,0.9968873858451843,0.9538043737411499,trained
20,0.017958033829927444,0.9969787001609802,0.9572104811668396,out_of_range
24,0.018408384174108505,0.9969963431358337,0.9557539224624634,out_of_range
32,0.023065904155373573,0.9964385032653809,0.9375051259994507,out_of_range
48,0.05289885029196739,0.9804837107658386,0.785701334476471,out_of_range
64,0.3126002848148346,0.4836009740829468,0.02076348289847374,out_of_range
